beds,baths,size_m2,rent_thb,built_year,subdistrict,district,province
1,1.0,33.0,15000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,28.0,16000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,41.0,16500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,31.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,35.0,16000,,Suan Luang,Suan Luang,Bangkok
1,1.0,48.0,45000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.09,14000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,50.0,24000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,80.0,30000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,47.0,29000,,Huai Khwang,Huai Khwang,Bangkok
,1.0,32.7,11000,,Bang Na,Bang Na,Bangkok
1,1.0,34.0,26000,,Wang Mai,Pathum Wan,Bangkok
,1.0,23.0,14000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,42.0,25000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,44.0,28500,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,29.0,20000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,30.5,22000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,37.0,22000,,Wang Mai,Pathum Wan,Bangkok
1,1.0,27.0,20000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,51.0,26000,,Lumphini,Pathum Wan,Bangkok
1,1.0,34.5,24000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,29.0,22000,,Si Phraya,Bang Rak,Bangkok
1,1.0,35.0,26500,,Khlong Tan Nuea,Vadhana,Bangkok
1,2.0,120.0,85000,,Lumphini,Pathum Wan,Bangkok
1,1.0,46.0,16000,,Bang Na,Bang Na,Bangkok
1,1.0,37.0,15000,,Bang Kapi,Huai Khwang,Bangkok
,1.0,39.0,19000,,Thung Mahamek,Sathon,Bangkok
1,1.0,45.0,21000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,47.0,40200,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,38.0,30000,,Thung Mahamek,Sathon,Bangkok
1,1.0,35.0,18000,,Thung Mahamek,Sathon,Bangkok
1,1.0,29.0,16000,,Phra Khanong Nuea,Vadhana,Bangkok
1,2.0,65.0,43000,,Makkasan,Ratchathewi,Bangkok
1,1.0,47.0,20000,,Si Phraya,Bang Rak,Bangkok
1,1.0,31.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,35.0,20000,,Thanon Phet Buri,Ratchathewi,Bangkok
2,1.0,66.0,35000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,70.0,24000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,33.0,15000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,44.0,53000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,42.5,50000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,57.0,21000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,40.0,25000,,Lumphini,Pathum Wan,Bangkok
1,1.0,35.0,22000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,51.0,30000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,58.0,80000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,33.0,25000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,56.0,25000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,47.0,29000,,Si Phraya,Bang Rak,Bangkok
1,1.0,38.0,25000,,Thung Wat Don,Sathon,Bangkok
1,1.0,36.0,16000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,41.0,22000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,29.0,16500,,Bang Chak,Phra Khanong,Bangkok
1,2.0,85.0,230000,,Lumphini,Pathum Wan,Bangkok
1,1.0,45.0,40000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,29.0,16000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,43.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,47.0,55000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.0,16000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,58.0,38000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,24.0,21000,,Lumphini,Pathum Wan,Bangkok
1,1.0,44.0,28000,,Lumphini,Pathum Wan,Bangkok
2,1.0,52.0,25000,,Bang Khlo,Bang Kho Laem,Bangkok
1,1.0,55.0,30000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,38.0,23000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,31.0,15000,,Yan Nawa,Sathon,Bangkok
2,1.0,50.0,23000,,Sam Sen Nai,Phaya Thai,Bangkok
2,1.0,54.0,26500,,Si Lom,Bang Rak,Bangkok
1,1.0,45.0,30000,,Lumphini,Pathum Wan,Bangkok
2,1.0,58.0,28000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,56.0,33000,,Lumphini,Pathum Wan,Bangkok
1,1.0,35.0,15000,,Bang Na,Bang Na,Bangkok
1,1.0,50.0,24000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,78.0,80000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,65.0,17000,,Suan Luang,Suan Luang,Bangkok
1,1.0,84.0,100000,,Lumphini,Pathum Wan,Bangkok
1,1.0,36.0,34000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,30.0,22000,,Bang Na,Bang Na,Bangkok
1,1.0,66.0,55000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,47.0,33000,,Makkasan,Ratchathewi,Bangkok
1,1.0,43.0,27000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,48.0,45000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,55.0,38000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,86.0,40000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,36.0,16000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,42.0,35000,,Si Lom,Bang Rak,Bangkok
1,1.0,26.45,28000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,26.09,10000,,Bang Na,Bang Na,Bangkok
1,1.0,50.0,19000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,49.0,42000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.0,20000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,25.0,16000,,Talat Phlu,Thon Buri,Bangkok
1,1.0,45.0,14000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,49.31,35000,,Lumphini,Pathum Wan,Bangkok
1,1.0,47.0,18000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,46.0,30000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,35.0,25000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,55.0,44000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.5,28000,,Si Phraya,Bang Rak,Bangkok
,1.0,27.0,18000,,Makkasan,Ratchathewi,Bangkok
,1.0,24.0,13000,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,30.0,16500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,29.0,20000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,35.0,32000,,Thanon Phaya Thai,Ratchathewi,Bangkok
,1.0,28.0,8000,,Bang Na,Bang Na,Bangkok
2,1.0,53.63,39000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,39.58,20000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,32.0,16000,,Suan Luang,Suan Luang,Bangkok
,1.0,25.0,9000,,Bang Na,Bang Na,Bangkok
1,1.0,27.0,15000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,42.0,13000,,Khlong Tan Nuea,Vadhana,Bangkok
1,2.0,62.0,20000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,47.0,29000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,36.0,19000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,26.0,12500,,Bang Na,Bang Na,Bangkok
,1.0,26.0,15000,,Suan Luang,Suan Luang,Bangkok
1,1.0,35.0,25000,,Sam Sen Nok,Huai Khwang,Bangkok
1,1.0,40.0,18000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,42.0,38000,,Maha Phruettharam,Bang Rak,Bangkok
1,1.0,47.75,38000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,67.0,34000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,29.0,18000,,Thanon Phet Buri,Ratchathewi,Bangkok
1,1.0,46.0,47000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,33.0,30000,,Suriyawong,Bang Rak,Bangkok
1,1.0,35.0,25000,,Din Daeng,Din Daeng,Bangkok
1,1.0,51.0,42000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,33.0,25000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,2.0,70.0,40000,,Yan Nawa,Sathon,Bangkok
1,1.0,28.0,20000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,29.78,25000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.5,12500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,35.47,25000,,Si Lom,Bang Rak,Bangkok
1,1.0,28.0,27000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,56.0,20000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,26.61,15500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,37.0,11000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,26.0,12500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,30.0,24000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.0,20000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,50.0,20400,,Khlong Toei,Khlong Toei,Bangkok
1,1.0,28.0,19000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,49.0,26900,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,35.0,18000,,Thung Wat Don,Sathon,Bangkok
,1.0,28.0,11000,,Suan Luang,Suan Luang,Bangkok
1,1.0,23.0,15000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,47.0,22000,,Khlong Ton Sai,Khlong San,Bangkok
1,1.0,45.0,22000,,Thung Phaya Thai,Ratchathewi,Bangkok
1,1.0,34.0,20000,,Din Daeng,Din Daeng,Bangkok
1,1.0,34.0,20000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,36.0,25000,,Lumphini,Pathum Wan,Bangkok
1,1.0,33.0,13000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,33.08,15000,,Din Daeng,Din Daeng,Bangkok
1,1.0,32.0,45000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,46.86,50000,,Din Daeng,Din Daeng,Bangkok
1,1.0,35.0,32000,,Si Phraya,Bang Rak,Bangkok
1,1.0,45.0,18000,,Sam Sen Nok,Huai Khwang,Bangkok
1,1.0,28.5,21000,,Lumphini,Pathum Wan,Bangkok
1,1.0,39.0,26000,,Thung Mahamek,Sathon,Bangkok
1,1.0,30.0,15000,,Sam Sen Nai,Phaya Thai,Bangkok
,1.0,27.0,9500,,Bang Na,Bang Na,Bangkok
2,1.0,48.0,28000,,Sam Sen Nai,Phaya Thai,Bangkok
2,1.0,47.0,25000,,Bang Na,Bang Na,Bangkok
1,1.0,31.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,65.0,40000,,Thung Wat Don,Sathon,Bangkok
1,2.0,85.0,200000,,Lumphini,Pathum Wan,Bangkok
1,1.0,46.8,30000,,Si Lom,Bang Rak,Bangkok
1,1.0,35.0,9500,,Suan Luang,Suan Luang,Bangkok
1,1.0,28.0,13500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,57.0,38000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,40.0,13000,,Bang Na,Bang Na,Bangkok
1,1.0,40.0,36000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,36.0,17000,,Din Daeng,Din Daeng,Bangkok
1,1.0,50.0,38000,,Lumphini,Pathum Wan,Bangkok
1,1.0,61.0,50000,,Si Lom,Bang Rak,Bangkok
1,1.0,51.0,60000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,48.0,35000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,46.0,37000,,Lumphini,Pathum Wan,Bangkok
1,1.0,45.0,19000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,34.26,23000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,35.0,18000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,42.0,21500,,Bang Na,Bang Na,Bangkok
1,1.0,36.0,13000,,Bang Chak,Phra Khanong,Bangkok
1,30.0,9.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,47.0,30000,,Makkasan,Ratchathewi,Bangkok
1,1.0,41.5,32000,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,46.0,35000,,Si Phraya,Bang Rak,Bangkok
1,2.0,150.0,100000,,Thung Mahamek,Sathon,Bangkok
1,1.0,34.0,22000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,13000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,35.99,38000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,33.0,15000,,Bang Na,Bang Na,Bangkok
1,1.0,34.0,27000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,35.0,30000,,Si Lom,Bang Rak,Bangkok
1,1.0,35.0,39000,,Lumphini,Pathum Wan,Bangkok
1,1.0,27.0,24000,,Thanon Phaya Thai,Ratchathewi,Bangkok
,1.0,28.44,24000,,Lumphini,Pathum Wan,Bangkok
2,1.0,53.7,28000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,48.0,13500,,Suan Luang,Suan Luang,Bangkok
1,1.0,49.0,48000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,31.0,17500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,37.0,25000,,Wat Phraya Krai,Bang Kho Laem,Bangkok
1,1.0,35.44,23000,,Makkasan,Ratchathewi,Bangkok
1,1.0,34.0,20000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,30.0,17000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,24.5,18000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,29.0,12000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,40.0,23000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,34.0,11500,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,26.0,13000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,32.5,24000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,29.0,11000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,45.0,27500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,27.0,10000,,Suan Luang,Suan Luang,Bangkok
1,1.0,32.3,20000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,32.5,13000,,Yan Nawa,Sathon,Bangkok
1,1.0,42.0,12000,,Bang Na,Bang Na,Bangkok
1,1.0,27.0,18000,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,49.0,31000,,Makkasan,Ratchathewi,Bangkok
1,1.0,37.0,40000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,42.0,13000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,34.25,18000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,31.0,7000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,34.26,18000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,29.0,9000,,Suan Luang,Suan Luang,Bangkok
,1.0,27.0,14000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,36.12,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,38.0,32000,,Lumphini,Pathum Wan,Bangkok
1,1.0,27.0,17000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,35.0,14000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,52.23,23000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,53.0,22000,,Bang Yi Ruea,Thon Buri,Bangkok
1,1.0,36.0,12500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,40.0,23000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,28000,,Khlong Toei Nuea,Vadhana,Bangkok
2,1.0,83.0,28000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,39.0,12000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,34.0,14000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,30.5,12900,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,22.0,9000,,Bang Chak,Phra Khanong,Bangkok
,1.0,24.11,11000,,Suan Luang,Suan Luang,Bangkok
2,1.0,41.55,30000,,Makkasan,Ratchathewi,Bangkok
1,1.0,40.0,28000,,Lumphini,Pathum Wan,Bangkok
1,1.0,27.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,22.0,13000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,36.0,12000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,29.0,17000,,Din Daeng,Din Daeng,Bangkok
1,1.0,51.0,40000,,Thanon Phet Buri,Ratchathewi,Bangkok
,1.0,22.0,8000,,Bang Chak,Phra Khanong,Bangkok
,1.0,25.0,19900,,Lumphini,Pathum Wan,Bangkok
1,1.0,59.0,30000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,27.0,14000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,65.0,60000,,Khlong Tan,Khlong Toei,Bangkok
,1.0,31.13,20000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,56.66,68000,,Si Lom,Bang Rak,Bangkok
1,1.0,36.0,22500,,Phra Khanong,Khlong Toei,Bangkok
2,1.0,80.0,35000,,Khlong Tan Nuea,Vadhana,Bangkok
2,1.0,46.27,24000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,43.64,19000,,Suan Luang,Suan Luang,Bangkok
1,1.0,29.9,26500,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,46.0,20000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,28.0,8000,,Bang Na,Bang Na,Bangkok
1,1.0,52.0,25000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,42.0,25000,,Makkasan,Ratchathewi,Bangkok
1,1.0,32.58,24000,,Thanon Phaya Thai,Ratchathewi,Bangkok
1,1.0,30.0,20000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,30.0,12000,,Chong Nonsi,Yan Nawa,Bangkok
1,1.0,29.0,11000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,39.0,33000,,Lumphini,Pathum Wan,Bangkok
1,1.0,32.0,17000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,52.0,78000,,Lumphini,Pathum Wan,Bangkok
1,1.0,35.0,35000,,Bang Kapi,Huai Khwang,Bangkok
2,1.0,39.0,18000,,Suan Luang,Suan Luang,Bangkok
1,1.0,35.0,30000,,Makkasan,Ratchathewi,Bangkok
1,1.0,35.0,12000,,Bang Khlo,Bang Kho Laem,Bangkok
1,1.0,46.35,25000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,32.44,14000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,50.0,22000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,26.0,13500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,40.0,19000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,50.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,25.0,8500,,Bang Chak,Phra Khanong,Bangkok
,1.0,27.0,16500,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,33.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,33.0,22000,,Pathum Wan,Pathum Wan,Bangkok
1,1.0,27.0,10000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,22.5,14000,,Makkasan,Ratchathewi,Bangkok
1,1.0,30.0,16000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,24.0,9000,,Sam Sen Nok,Huai Khwang,Bangkok
2,1.0,75.0,65000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,24.3,9000,,Bang Na,Bang Na,Bangkok
,1.0,26.0,20000,,Bang Lamphu Lang,Khlong San,Bangkok
1,1.0,36.0,33000,,Lumphini,Pathum Wan,Bangkok
1,1.0,29.0,19000,,Lumphini,Pathum Wan,Bangkok
2,1.0,42.0,27000,,Makkasan,Ratchathewi,Bangkok
1,1.0,26.96,15000,,Bang Na,Bang Na,Bangkok
1,1.0,30.0,10500,,Suan Luang,Suan Luang,Bangkok
1,1.0,31.0,15000,,Din Daeng,Din Daeng,Bangkok
1,1.0,54.0,40000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,13000,,Suan Luang,Suan Luang,Bangkok
1,1.0,70.46,30000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,34.7,15000,,Bang Na,Bang Na,Bangkok
1,1.0,32.0,14000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,33.79,19000,,Si Lom,Bang Rak,Bangkok
,1.0,25.0,12000,,Bang Na,Bang Na,Bangkok
1,1.0,30.0,17000,,Si Lom,Bang Rak,Bangkok
1,1.0,31.0,14000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,40.0,19000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,33.0,19000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,33.0,21000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,54.0,69000,,Khlong Tan,Khlong Toei,Bangkok
2,1.0,39.0,25000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,34.89,30000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,34.0,16000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,77.0,19000,,Bang Na,Bang Na,Bangkok
,1.0,37.0,19000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,43.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,55000,,Khlong Tan Nuea,Vadhana,Bangkok
,1.0,30.0,26000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,53.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,45.0,10000,,Suan Luang,Suan Luang,Bangkok
2,1.0,40.0,25000,,Phra Khanong Nuea,Vadhana,Bangkok
2,1.0,50.0,13500,,Bang Na,Bang Na,Bangkok
,1.0,25.0,13000,,Bang Chak,Phra Khanong,Bangkok
1,1.0,52.0,27000,,Khlong San,Khlong San,Bangkok
1,2.0,50.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,34.0,12000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,55.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,26.7,9000,,Bang Kho,Chom Thong,Bangkok
1,1.0,43.0,18000,,Bang Chak,Phra Khanong,Bangkok
2,1.0,43.0,15000,,Bang Na,Bang Na,Bangkok
1,1.0,26.0,10500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,44.0,17000,,Bang Na,Bang Na,Bangkok
1,1.0,50.0,27000,,Thung Phaya Thai,Ratchathewi,Bangkok
1,1.0,33.0,8500,,Bang Na,Bang Na,Bangkok
1,1.0,35.05,15000,,Suan Luang,Suan Luang,Bangkok
1,1.0,45.0,26000,,Thung Wat Don,Sathon,Bangkok
1,1.0,45.0,16000,,Huai Khwang,Huai Khwang,Bangkok
2,1.0,52.0,37000,,Bang Na,Bang Na,Bangkok
2,1.0,9.0,16000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,35.0,28000,,Rong Mueang,Pathum Wan,Bangkok
2,1.0,83.5,45000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,36.0,29000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,44.0,25000,,Wang Mai,Pathum Wan,Bangkok
1,1.0,51.0,39000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,37.0,25000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,43.0,13500,,Bang Chak,Phra Khanong,Bangkok
1,1.0,37.15,15000,,Phra Khanong,Khlong Toei,Bangkok
1,1.0,36.0,30000,,Khlong Toei Nuea,Vadhana,Bangkok
,1.0,29.0,27000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,28.0,16000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,27.0,12000,,Suan Luang,Suan Luang,Bangkok
1,1.0,24.5,20000,,Lumphini,Pathum Wan,Bangkok
,1.0,30.0,25000,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,32.0,12000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,30.0,16000,,Sam Sen Nai,Phaya Thai,Bangkok
1,1.0,40.0,25000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,31.73,11900,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,42.5,16000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,34.8,20000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,33.5,23000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,50.0,15500,,Bang Kho Laem,Bang Kho Laem,Bangkok
1,1.0,30.0,14000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,35.0,22500,,Phra Khanong,Khlong Toei,Bangkok
,1.0,32.0,24000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,32.0,14000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,26.0,14000,,Phra Khanong Nuea,Vadhana,Bangkok
,1.0,40.0,19500,,Lumphini,Pathum Wan,Bangkok
1,2.0,48.0,22000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,26.0,8500,,Bang Na,Bang Na,Bangkok
1,1.0,37.43,20000,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,37.0,32000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,28.0,18500,,Phra Khanong Nuea,Vadhana,Bangkok
1,1.0,25.0,15000,,Huai Khwang,Huai Khwang,Bangkok
1,1.0,35.29,19900,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,28.0,21500,,Khlong Tan,Khlong Toei,Bangkok
1,1.0,31.0,11500,,Bang Na,Bang Na,Bangkok
1,1.0,31.0,20000,,Makkasan,Ratchathewi,Bangkok
1,1.0,31.0,14500,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,49.0,40000,,Si Lom,Bang Rak,Bangkok
1,1.0,33.0,18000,,Thung Mahamek,Sathon,Bangkok
2,1.0,56.0,38000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,45.0,23000,,Lumphini,Pathum Wan,Bangkok
1,1.0,35.25,38000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,55.0,52000,,Khlong Tan Nuea,Vadhana,Bangkok
1,1.0,64.0,40000,,Bang Na,Bang Na,Bangkok
1,1.0,27.0,11000,,Hua Mak,Bang Kapi,Bangkok
1,1.0,26.0,10000,,Bang Kapi,Huai Khwang,Bangkok
1,1.0,35.0,33000,,Khlong Toei Nuea,Vadhana,Bangkok
1,1.0,28.0,14000,,Suan Luang,Suan Luang,Bangkok
,1.0,28.0,20000,,Thanon Phaya Thai,Ratchathewi,Bangkok
